DateTime_UTC,DateTime_EST,WaterTemp_C,DO_mgL
           2018-06-13 07:09:00,           2018-06-13 03:09:00,24.78,1.772
           2018-06-13 07:19:00,           2018-06-13 03:19:00,24.764,1.758
           2018-06-13 07:29:00,           2018-06-13 03:29:00,24.722,1.655
           2018-06-13 07:39:00,           2018-06-13 03:39:00,24.696,1.609
           2018-06-13 07:49:00,           2018-06-13 03:49:00,24.663,1.614
           2018-06-13 07:59:00,           2018-06-13 03:59:00,24.646,1.56
           2018-06-13 08:09:00,           2018-06-13 04:09:00,24.604,1.592
           2018-06-13 08:19:00,           2018-06-13 04:19:00,24.545,1.612
           2018-06-13 08:29:00,           2018-06-13 04:29:00,24.537,1.549
           2018-06-13 08:39:00,           2018-06-13 04:39:00,24.512,1.505
           2018-06-13 08:49:00,           2018-06-13 04:49:00,24.487,1.575
           2018-06-13 08:59:00,           2018-06-13 04:59:00,24.445,1.568
           2018-06-13 09:09:00,           2018-06-13 05:09:00,24.403,1.536
           2018-06-13 09:19:00,           2018-06-13 05:19:00,24.327,1.516
           2018-06-13 09:29:00,           2018-06-13 05:29:00,24.26,1.531
           2018-06-13 09:39:00,           2018-06-13 05:39:00,24.219,1.457
           2018-06-13 09:49:00,           2018-06-13 05:49:00,24.219,1.467
           2018-06-13 09:59:00,           2018-06-13 05:59:00,24.185,1.402
           2018-06-13 10:09:00,           2018-06-13 06:09:00,24.135,1.314
           2018-06-13 10:19:00,           2018-06-13 06:19:00,24.11,1.34
           2018-06-13 10:29:00,           2018-06-13 06:29:00,24.017,1.329
           2018-06-13 10:39:00,           2018-06-13 06:39:00,23.992,1.244
           2018-06-13 10:49:00,           2018-06-13 06:49:00,23.917,1.228
           2018-06-13 10:59:00,           2018-06-13 06:59:00,23.867,1.268
           2018-06-13 11:09:00,           2018-06-13 07:09:00,23.842,1.204
           2018-06-13 11:19:00,           2018-06-13 07:19:00,23.808,1.157
           2018-06-13 11:29:00,           2018-06-13 07:29:00,23.758,1.114
           2018-06-13 11:39:00,           2018-06-13 07:39:00,23.741,1.038
           2018-06-13 11:49:00,           2018-06-13 07:49:00,23.691,1.041
           2018-06-13 11:59:00,           2018-06-13 07:59:00,23.674,0.998
           2018-06-13 12:09:00,           2018-06-13 08:09:00,23.641,0.951
           2018-06-13 12:19:00,           2018-06-13 08:19:00,23.616,0.906
           2018-06-13 12:29:00,           2018-06-13 08:29:00,23.582,0.915
           2018-06-13 12:39:00,           2018-06-13 08:39:00,23.565,0.886
           2018-06-13 12:49:00,           2018-06-13 08:49:00,23.524,0.884
           2018-06-13 12:59:00,           2018-06-13 08:59:00,23.532,0.887
           2018-06-13 13:09:00,           2018-06-13 09:09:00,23.515,0.87
           2018-06-13 13:19:00,           2018-06-13 09:19:00,23.49,0.891
           2018-06-13 13:29:00,           2018-06-13 09:29:00,23.482,0.922
           2018-06-13 13:39:00,           2018-06-13 09:39:00,23.44,0.893
           2018-06-13 13:49:00,           2018-06-13 09:49:00,23.407,0.985
           2018-06-13 13:59:00,           2018-06-13 09:59:00,23.381,1.015
           2018-06-13 14:09:00,           2018-06-13 10:09:00,23.373,1.072
           2018-06-13 14:19:00,           2018-06-13 10:19:00,23.315,1.019
           2018-06-13 14:29:00,           2018-06-13 10:29:00,23.34,1.01
           2018-06-13 14:39:00,           2018-06-13 10:39:00,23.34,0.996
           2018-06-13 14:49:00,           2018-06-13 10:49:00,23.348,0.959
           2018-06-13 14:59:00,           2018-06-13 10:59:00,23.356,0.881
           2018-06-13 15:09:00,           2018-06-13 11:09:00,23.365,0.854
           2018-06-13 15:19:00,           2018-06-13 11:19:00,23.381,0.865
           2018-06-13 15:29:00,           2018-06-13 11:29:00,23.381,0.941
           2018-06-13 15:39:00,           2018-06-13 11:39:00,23.415,1.113
           2018-06-13 15:49:00,           2018-06-13 11:49:00,23.44,1.237
           2018-06-13 15:59:00,           2018-06-13 11:59:00,23.432,1.32
           2018-06-13 16:09:00,           2018-06-13 12:09:00,23.448,1.603
           2018-06-13 16:19:00,           2018-06-13 12:19:00,23.482,1.836
           2018-06-13 16:29:00,           2018-06-13 12:29:00,23.515,1.828
           2018-06-13 16:39:00,           2018-06-13 12:39:00,23.499,1.723
           2018-06-13 16:49:00,           2018-06-13 12:49:00,23.557,1.712
           2018-06-13 16:59:00,           2018-06-13 12:59:00,23.549,1.692
           2018-06-13 17:09:00,           2018-06-13 13:09:00,23.557,1.791
           2018-06-13 17:19:00,           2018-06-13 13:19:00,23.574,1.809
           2018-06-13 17:29:00,           2018-06-13 13:29:00,23.591,1.814
           2018-06-13 17:39:00,           2018-06-13 13:39:00,23.591,1.903
           2018-06-13 17:49:00,           2018-06-13 13:49:00,23.607,1.971
           2018-06-13 17:59:00,           2018-06-13 13:59:00,23.607,2.057
           2018-06-13 18:09:00,           2018-06-13 14:09:00,23.632,2.086
           2018-06-13 18:19:00,           2018-06-13 14:19:00,23.607,2.152
           2018-06-13 18:29:00,           2018-06-13 14:29:00,23.632,2.188
           2018-06-13 18:39:00,           2018-06-13 14:39:00,23.666,2.174
           2018-06-13 18:49:00,           2018-06-13 14:49:00,23.683,2.297
           2018-06-13 18:59:00,           2018-06-13 14:59:00,23.708,2.385
           2018-06-13 19:09:00,           2018-06-13 15:09:00,23.699,2.255
           2018-06-13 19:19:00,           2018-06-13 15:19:00,23.724,2.272
           2018-06-13 19:29:00,           2018-06-13 15:29:00,23.75,2.384
           2018-06-13 19:39:00,           2018-06-13 15:39:00,23.733,2.292
           2018-06-13 19:49:00,           2018-06-13 15:49:00,23.741,2.358
           2018-06-13 19:59:00,           2018-06-13 15:59:00,23.766,2.395
           2018-06-13 20:09:00,           2018-06-13 16:09:00,23.75,2.512
           2018-06-13 20:19:00,           2018-06-13 16:19:00,23.775,2.436
           2018-06-13 20:29:00,           2018-06-13 16:29:00,24.713,7.932
           2018-06-13 20:39:00,           2018-06-13 16:39:00,25.427,7.813
           2018-06-13 20:49:00,           2018-06-13 16:49:00,25.941,7.739
