SiteName,State,Latitude,Longitude,Ecoregion,date,Min_Elevation,Mean_Elevation,Max_Elevation,Mean_Slope,Aspect,WatershedArea_km2,ReachWidth_Avg_m,TransectDepth_Avg_cm,CanopyCover_Avg_perc,DOC_mgL,TDN_mgL,NH4_ugL,NO2NO3_ugL,SRP_ugL,TDP_ugL,TP_ugL,DIN_ugNL,TDN_TP,DIN_SRP,LandCover_Water_perc,LandCover_Trees_perc,LandCover_Grass_perc,LandCover_FloodedVeg_perc,LandCover_Crop_perc,LandCover_ShrubScrub_perc,LandCover_Built_perc,LandCover_Bare_perc,CWDCover_perc,RockCover_perc,VegCover_perc,SedimentCover_perc,richness,simpsonsInfo,shannonsEvenness,WaterTemp_C_mean,DO_mgL_mean,Depth_m,Discharge_m3s,Light_PAR_mean,Denitrification_amended_mgNm2hr_mean,Denitrification_unamended_mgNm2hr_mean,Nfixation_unamended_mgNm2hr_mean,GPP_daily_mean,GPP_daily_sd,ER_daily_mean,ER_daily_sd,K600_daily_mean,K600_daily_sd
Rio Cupeyes,PR,18.11352,-66.98676,Atlantic Neotropical,2/23/19,148.877304,461.46881,892.922729,26.675539,193.255868,4.26,3.366666667,8.652910053,82.42,5.9,0.4,1.98,368.5,17.5,4.6,7.4,370.5,54.05405405,21.17142857,0.133802817,99.48122066,0,0,0,0,0.373239437,0,0,100,0,0,1,1,NA,21.99201042,8.164479167,0.040071132,0.022909375,309.0569416,10.61257022,8.766512135,1.50E-05,0,0.010406051,-0.071518045,0.061432905,2.948210714,1.947930709
Quebrada Prieta,PR,18.324,-65.8151,Atlantic Neotropical,3/3/19,375.829,540.792,656.088,16.29,283.56,0.422098,3.12,11.88531746,87.204,2.4,0.2,12.41,120.6,4.9,4.6,12.4,133,16.12903226,27.14285714,0,100.4032239,0,0,0,0,0,0,0,100,0,0,1,1,NA,21.33916667,8.29,0.075562049,0.003203904,NA,0.039456755,0,0,NA,NA,NA,NA,NA,NA
Quebrada Sonadora,PR,18.3213,-65.8171,Atlantic Neotropical,3/5/19,378.359,741.912,1031.53,17.553,321.015,2.360431,11.8,25.02051282,81.12,2.7,0.2,3.38,116.8,4.7,4.6,5.7,120.2,35.0877193,25.57446809,0,100.1512012,0,0,0,0,0,0,32.5097529,67.490247,0,0,2,1.781953894,0.909838931,20.6328125,8.764079861,0.250205128,NA,8626.267361,0.724357868,0.280719007,6.15E-04,NA,NA,NA,NA,NA,NA
Kings Creek,KS,39.10506,-96.60336,Prairie Peninsula,5/10/19,325.380981,391.516671,444.311218,7.909218,314.257549,13.04,6.457142857,33.5377551,63.29142857,6.9,0.15,1.33,56.6,10.5,10.8,15.7,57.9,9.554140127,5.514285714,0,5.359662577,11.85046012,0,0.231595092,82.63650307,0,0.005368098,2.8769841,55.2579365,0,41.8650794,3,2.077101399,0.723077223,NA,NA,NA,NA,NA,0.354824489,0.006305236,0.001853929,NA,NA,NA,NA,NA,NA
Sycamore Creek,AZ,33.74906,-111.5069,Desert Southwest,5/14/19,645.71582,1275.071289,2171.467773,19.329774,214.436512,280.48,2.225,8.71468254,3.943333333,7.9,0.24,9.16,97.6,36.6,64,60.8,106.8,3.947368421,2.918032787,0.003101825,3.884376783,0,0,0,95.93792784,0.096085282,0.003743582,0.4255319,49.7872341,49.787234,0,3,2.017056868,0.653256982,20.92095833,6.873958333,0.060574095,0.028039581,618.4097917,0.334812089,0.484895092,0.001490407,NA,NA,NA,NA,NA,NA
Wet Beaver Creek,AZ,34.6793,-111.695,Desert Southwest,5/16/19,1185.57,1981.182,2594.143,7.745,251.705,297.81036,12.925,47.02951389,18.46,4.5,0.12,3.775,37.4,23.9,26.8,24.1,41.2,4.979253112,1.723849372,0.003995831,37.65090644,0.306403041,0,0.005842644,61.86712242,3.36E-04,0.092206329,5.6650246,88.6699507,0,5.6650246,3,1.261583678,0.393127383,18.04947917,7.780520833,0.250911753,0.189979292,NA,0.008446416,0.703608993,0.028603905,1.990205022,0.313007748,-5.47454801,0.817358135,33.85352877,4.884174052
Arikaree River,CO,39.75825,-102.4471,Central Plains,5/24/19,1180.108398,1504.586993,1817.128296,1.27007,76.776771,2632.3,4.03,19.18214286,1.196,14.9,0.39,5.06,12.6,31.5,12.6,14.1,17.7,27.65957447,0.561904762,0.002328762,0.035296129,0.037575504,0,84.88849675,14.78965543,0.227158759,0.002078031,0,0,73.421927,26.5780731,2,1.640104267,0.835344881,14.66940625,7.566145833,0.117875646,0.063750208,743.21875,1.749711745,0.646680229,0.279759513,1.569978274,0.090757866,-2.973902312,0.162568271,11.0272275,0.625910264
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,6/13/19,185.709,301.199,457.851,3.636,82.562,58.106225,9.08,59.03560606,14.404,8.2,0.23,5.72,40.7,50.5,10.8,19.1,46.5,12.04188482,0.920792079,0.144046529,83.86468059,6.604283792,0.003269873,0.230784223,1.24805905,7.863012956,0,7.9365079,38.0952381,0,53.9682539,3,2.258964147,0.820670941,13.80633333,9.36890625,0.590356061,0.38595,NA,2.047401675,0.311833824,0.001856682,11.83511497,1.346927068,-22.73684462,2.472054358,20.76959081,2.176070278
Caribou Creek,AK,65.15306,-147.50246,Taiga,7/9/19,227.580811,488.948214,767.568115,11.514505,142.435296,31.05,2.866666667,15.30257937,15.42666667,4.7,0.38,9.52,285.2,7.8,4.6,4.1,294.7,92.68292683,37.78205128,0,98.47149758,0.067310789,0,0,1.393558776,0,0,0,84.2266462,0,15.7733538,2,1.361854819,0.628859782,6.195833333,10.81354167,0.204157041,0.160870833,498.5061458,0.587515721,0.742612034,1.38E-04,NA,NA,NA,NA,NA,NA
Poker Creek,AK,65.1528,-147.4867,Taiga,7/10/19,216.018,530.112,819.855,11.908,188.23,60.315922,3.85,27.79626623,18.33,4.5,0.31,4.06,261.7,5.4,4.6,7.4,265.7,41.89189189,49.2037037,0,82.24097113,0.355959078,0,0,17.33373155,0,0,0,62.4123422,0,37.5876578,2,1.883901738,0.955077647,9.601288826,11.53229167,0.309349418,0.217960868,NA,0.972751132,0.196659636,8.47E-04,0.874701175,0.157010765,-0.362871857,0.118814104,14.45073571,1.473438673
Blacktail Deer Creek,WY,44.95011,-110.58715,Northern Rockies,7/30/19,2023.951904,2401.219359,2942.318115,10.406002,341.06012,37.84,2.475,18.18125,41.21,3.1,0.08,4.56,41.9,5,37.4,39.1,46.5,2.046035806,9.3,0,38.06527484,14.19238901,0,0,47.65116279,0,0.024577167,0,97.1786834,0,2.8213166,2,1.058015616,0.18535026,14.290375,10.30895833,0.154011108,0.140870208,581.8395833,NA,NA,0.305294672,NA,NA,NA,NA,NA,NA
McRae Creek,OR,44.2596,-122.16555,Pacific Northwest,8/3/19,876.960266,1247.753849,1628.366211,21.21077,248.222132,3.93,3.716666667,7.153540904,89.44,1,0.03,1.09,10.7,7.8,4.6,7.4,11.8,4.054054054,1.512820513,0,100.0025445,0,0,0,0,0,0,0,99.7150997,0,0.2849003,2,1.005714239,0.028193634,NA,NA,NA,NA,NA,2.071202969,0.710515102,5.02E-05,NA,NA,NA,NA,NA,NA
Martha Creek,WA,45.79125,-121.93196,Pacific Northwest,8/6/19,342.610596,612.489476,944.584106,19.523848,77.476281,6.35,2.925,11.41339286,43.745,1.7,0.15,4.78,43.4,33.2,28.6,22.4,48.2,6.696428571,1.451807229,0,99.86929134,0,0,0,0,0,0,0,91.4285715,0,8.5714286,2,1.185866407,0.422000517,16.44313542,8.993854167,0.114133929,NA,344.4183333,0,0.280671951,0.007066783,0.447282427,0.083777811,-9.990370355,1.704413681,44.7106296,7.602377736
Blaine Creek,MT,48.1885,-114.1327,Northern Rockies,8/10/19,890.589,915.325,941.0455,1.11,176.528,15.571501,1.896666667,10.63293651,0,14.3,3.61,18.41,3667.3,10.6,4.6,10.7,3685.7,337.3831776,347.7075472,1.909257174,8.529042897,2.910445178,0,70.06517869,2.331181817,14.31782331,0,0,0,100,0,1,1,NA,16.68616667,8.533786458,0.28,NA,NA,0,0,2.17E-04,13.97700674,0.794651715,-14.07664418,0.857595783,14.64961936,0.862867411
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,9/9/19,185.709,301.199,457.851,3.636,82.562,58.106225,10.04,53.81676768,13.104,4.6,0.17,5.97,50,6.5,10.8,9.1,56,18.68131868,8.615384615,0.144046529,83.86468059,6.604283792,0.003269873,0.230784223,1.24805905,7.863012956,0,0,41.8781726,0,58.1218274,2,1.948585344,0.980882193,NA,NA,NA,NA,NA,0.210063932,0.797145848,3.69E-04,NA,NA,NA,NA,NA,NA
